Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","124","Canada","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","6125","Value","","101.76702","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7010","October","6125","Value","","102.004055","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7011","November","6125","Value","","101.608997","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7012","December","6125","Value","","101.450974","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","6125","Value","","102.320102","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","6125","Value","","102.478125","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","6125","Value","","102.636149","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","6125","Value","","103.031207","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","6125","Value","","103.110219","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","6125","Value","","103.031207","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","6125","Value","","103.031207","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","6125","Value","","103.110219","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","6125","Value","","103.347254","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7010","October","6125","Value","","103.426265","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7011","November","6125","Value","","103.742312","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7012","December","6125","Value","","103.347254","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2018","2018","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","6125","Value","","104.058359","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2018","2018","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","6125","Value","","104.690452","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2018","2018","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","6125","Value","","105.006498","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2018","2018","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","6125","Value","","105.322545","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2018","2018","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","6125","Value","","105.401557","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2018","2018","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","6125","Value","","105.55958","X","Figure from external organization","base year is 2015"
